index,name,address,sido,gungu
1131,화개점,경상남도 하동군 화개면 탑리 663-13,경상남도,경상남도
1132,화곡1점,"서울특별시 강서구 월정로28길 24(화곡동, 1층)",서울특별시,서울특별시
1133,화곡본동점,서울특별시 강서구 까치산로 22 (화곡동),서울특별시,서울특별시
1134,화명점,부산광역시 북구 화명동 1417-6,부산광역시,부산광역시
1135,화봉.연암점,울산광역시 북구 송내1길 18(화봉동),울산광역시,울산광역시
1136,화서점,경기도 수원시장안구 화서동 71-27,경기도,경기도
1137,화성시청점,경기도 화성시 남양읍 역골로 3-20 ,경기도,경기도
1138,화순점,전라남도 화순군 화순읍 광덕로 142,전라남도,전라남도
1139,화양동점,"서울특별시 광진구 능동로13길 70(화양동, 1층)",서울특별시,서울특별시
1140,화원점,"대구광역시 달성군 화원읍 화원로2길, 27",대구광역시,대구광역시
1141,화정점,광주광역시 서구 화정동 766-1,광주광역시,광주광역시
1142,환호점,경상북도 포항시북구 삼호로 458,경상북도,경상북도
1143,황간점,충청북도 영동군 황간면 남성리 558-1,충청북도,충청북도
1144,황성점,경상북도 경주시 용담로92번길 43-4,경상북도,경상북도
1145,황제점,대구광역시 서구 내당동 69-26,대구광역시,대구광역시
1146,회원교방점,경상남도 창원시마산회원구 회원남로 39-1,경상남도,경상남도
1147,횡성점,강원도 횡성군 횡성읍 태기로 33,강원도,강원도
1148,횡성중앙점,"강원도 횡성군 횡성읍 문정로19번길, 13-3",강원도,강원도
1149,효가리점,"강원도 동해시 청운로 71(쇄운동, 104)",강원도,강원도
1150,효돈점,제주특별자치도 서귀포시 하효동 142-1,제주특별자치도,제주특별자치도
1151,효성1점,인천광역시 계양구 효성2동 273-91 층,인천광역시,인천광역시
1152,효성2점,인천광역시 계양구 효성1동 31-4,인천광역시,인천광역시
1153,효성점,인천광역시 남동구 백범로247번길 93-26,인천광역시,인천광역시
1154,효자점(포항),경상북도 포항시남구 효자동 119-1,경상북도,경상북도
1155,후곡점,경기도 고양시일산서구 강선로 142 태영상가 107,경기도,경기도
1156,후평2동점,강원도 춘천시 백령로 225(후평동),강원도,강원도
1157,후포점,경상북도 울진군 후포면 후포리 623-130,경상북도,경상북도
1158,훼미리점,"서울특별시 송파구 중대로 24(문정동, 훼미리상가125호)",서울특별시,서울특별시
1159,휴천점,경상북도 영주시 휴천2동 303-21,경상북도,경상북도
1160,흑석동점,서울특별시 동작구 흑석동 96-3,서울특별시,서울특별시
1161,흥업점,강원도 원주시 흥업면 남원로 82,강원도,강원도
1162,흰돌점,경기도 고양시일산동구 일산로 11  ,경기도,경기도
1163,CNTTEST,00 18 신사동 주소,00,00
